timestamp,gpu_util_percent,memory_used_MB
1745945013,0,5
1745945014,0,5
1745945015,0,5
1745945016,0,5
1745945017,0,513
1745945018,0,829
1745945019,25,1239
1745945020,30,1239
1745945021,30,1239
1745945022,30,1239
1745945023,30,1239
1745945024,29,1239
1745945025,30,1239
1745945027,31,1239
1745945028,30,1239
1745945029,30,1239
1745945030,31,1239
1745945031,31,1239
1745945032,30,1239
1745945033,30,1239
1745945034,29,1239
1745945035,7,1239
1745945036,32,1241
1745945037,31,1241
1745945038,32,1241
1745945039,31,1241
1745945040,32,1241
1745945041,32,1241
1745945042,31,1241
1745945043,32,1241
1745945044,29,1241
1745945045,32,1241
1745945046,32,1241
1745945047,31,1241
1745945048,28,1241
1745945049,31,1241
1745945050,31,1241
1745945051,32,1241
1745945052,31,1241
1745945053,32,1241
1745945054,31,1241
1745945055,32,1241
1745945056,31,1241
1745945057,32,1241
1745945058,31,1241
1745945059,32,1241
1745945060,31,1241
1745945061,32,1241
1745945062,32,1241
1745945063,33,1241
1745945064,32,1241
1745945065,33,1241
1745945066,32,1241
1745945067,31,1241
1745945068,33,1241
1745945069,33,1241
1745945070,33,1241
1745945071,31,1241
1745945072,32,1241
1745945073,32,1241
1745945074,33,1241
1745945075,32,1241
1745945076,32,1241
1745945077,33,1241
1745945078,32,1241
1745945080,32,1241
1745945081,31,1241
1745945082,31,1241
1745945083,31,1241
1745945084,31,1241
1745945085,29,1241
1745945086,31,1241
1745945087,32,1241
1745945088,31,1241
1745945089,30,1241
1745945090,31,1241
1745945091,32,1241
1745945092,31,1241
1745945093,29,1241
1745945094,31,1241
1745945095,31,1241
1745945096,31,1241
1745945097,32,1241
1745945098,30,1241
1745945099,31,1241
1745945100,31,1241
1745945101,31,1241
1745945102,32,1241
1745945103,31,1241
1745945104,32,1241
1745945105,32,1241
1745945106,28,1241
1745945107,32,1241
1745945108,32,1241
1745945109,32,1241
1745945110,32,1241
1745945111,32,1241
1745945112,32,1241
1745945113,32,1241
1745945114,32,1241
1745945115,33,1241
1745945116,33,1241
1745945117,32,1241
1745945118,33,1241
1745945119,32,1241
1745945120,33,1241
1745945121,33,1241
1745945122,32,1241
1745945123,33,1241
1745945124,33,1241
1745945125,34,1241
1745945126,33,1241
1745945127,32,1241
1745945128,32,1241
1745945129,32,1241
1745945130,32,1241
1745945131,32,1241
1745945133,33,1241
1745945134,32,1241
1745945135,32,1241
1745945136,32,1241
1745945137,32,1241
1745945138,32,1241
1745945139,32,1241
1745945140,33,1241
1745945141,29,1241
1745945142,33,1241
1745945143,33,1241
1745945144,33,1241
1745945145,32,1241
1745945146,32,1241
1745945147,31,1241
1745945148,33,1241
1745945149,32,1241
1745945150,31,1241
1745945151,31,1241
1745945152,31,1241
1745945153,32,1241
1745945154,32,1241
1745945155,32,1241
1745945156,31,1285
1745945157,32,1285
1745945158,32,1285
1745945159,31,1285
1745945160,32,1285
1745945161,32,1285
1745945162,32,1285
1745945163,32,1285
1745945164,31,1285
1745945165,32,1285
1745945166,32,1285
1745945167,32,1285
1745945168,32,1285
1745945169,32,1285
1745945170,31,1285
1745945171,31,1285
1745945172,32,1285
1745945173,32,1285
1745945174,30,1285
1745945175,31,1285
1745945176,32,1285
1745945177,32,1285
1745945178,32,1285
1745945179,32,1285
1745945180,32,1285
1745945181,30,1285
1745945182,32,1285
1745945183,31,1285
1745945184,32,1285
1745945186,31,1285
1745945187,32,1285
1745945188,32,1285
1745945189,31,1285
1745945190,32,1285
1745945191,32,1285
1745945192,32,1285
1745945193,32,1285
1745945194,31,1285
1745945195,30,1285
1745945196,31,1285
1745945197,32,1285
1745945198,32,1285
1745945199,28,1285
1745945200,33,1285
1745945201,29,1285
1745945202,32,1285
1745945203,28,1285
1745945204,31,1285
1745945205,32,1285
1745945206,32,1285
1745945207,33,1285
1745945208,33,1285
1745945209,32,1285
1745945210,31,1285
1745945211,32,1285
1745945212,32,1285
1745945213,29,1285
1745945214,32,1285
1745945215,33,1285
1745945216,32,1285
1745945217,31,1285
1745945218,32,1285
1745945219,32,1285
1745945220,32,1285
1745945221,32,1285
1745945222,33,1285
1745945223,34,1285
1745945224,32,1285
1745945225,32,1285
1745945226,32,1285
1745945227,31,1285
1745945228,33,1285
1745945229,33,1285
1745945230,33,1285
1745945231,32,1285
1745945232,32,1285
1745945233,31,1285
1745945234,32,1285
1745945235,33,1285
1745945236,32,1285
1745945238,32,1285
1745945239,32,1285
1745945240,32,1285
1745945241,31,1285
1745945242,32,1285
1745945243,31,1285
1745945244,31,1285
1745945245,32,1285
1745945246,31,1285
1745945247,32,1285
1745945248,30,1285
1745945249,30,1285
1745945250,29,1285
1745945251,32,1285
1745945252,31,1285
1745945253,30,1285
1745945254,31,1285
1745945255,32,1285
1745945256,30,1285
1745945257,30,1285
1745945258,32,1285
1745945259,31,1285
1745945260,32,1285
1745945261,32,1285
1745945262,32,1285
1745945263,32,1285
1745945264,32,1285
1745945265,32,1285
1745945266,31,1285
1745945267,32,1285
1745945268,31,1285
1745945269,32,1285
1745945270,31,1285
1745945271,31,1285
1745945272,32,1285
1745945273,31,1285
1745945274,31,1285
1745945275,32,1285
1745945276,32,1285
1745945277,32,1285
1745945278,31,1285
1745945279,31,1285
1745945280,33,1285
1745945281,32,1285
1745945282,31,1285
1745945283,32,1285
1745945284,32,1285
1745945285,33,1285
1745945286,32,1285
1745945287,32,1285
1745945288,32,1285
1745945289,31,1285
1745945291,32,1285
1745945292,31,1285
1745945293,31,1285
1745945294,32,1285
1745945295,31,1285
1745945296,32,1285
1745945297,31,1285
1745945298,31,1285
1745945299,30,1285
1745945300,32,1285
1745945301,30,1285
1745945302,32,1285
1745945303,31,1285
1745945304,32,1285
1745945305,31,1285
1745945306,30,1285
1745945307,31,1285
1745945308,32,1285
1745945309,32,1285
1745945310,32,1285
1745945311,32,1285
1745945312,32,1285
1745945313,30,1285
1745945314,31,1285
1745945315,31,1285
1745945316,31,1285
1745945317,32,1285
1745945318,32,1285
1745945319,31,1285
1745945320,31,1285
1745945321,32,1285
1745945322,31,1285
1745945323,31,1285
1745945324,32,1285
1745945325,32,1285
1745945326,30,1285
1745945327,31,1285
1745945328,31,1285
1745945329,32,1285
1745945330,31,1285
1745945331,31,1285
1745945332,32,1285
1745945333,32,1285
1745945334,32,1285
1745945335,32,1285
1745945336,32,1285
1745945337,30,1285
1745945338,32,1285
1745945339,33,1285
1745945340,31,1285
1745945341,32,1285
1745945342,32,1285
1745945344,32,1285
1745945345,32,1285
1745945346,32,1285
1745945347,32,1285
1745945348,31,1285
1745945349,32,1285
1745945350,32,1285
1745945351,31,1285
1745945352,31,1285
1745945353,32,1285
1745945354,32,1285
1745945355,32,1285
1745945356,32,1285
1745945357,33,1285
1745945358,32,1285
1745945359,32,1285
1745945360,34,1285
1745945361,30,1285
1745945362,31,1285
1745945363,32,1285
1745945364,32,1285
1745945365,32,1285
1745945366,31,1285
1745945367,32,1285
1745945368,31,1285
1745945369,32,1285
1745945370,32,1285
1745945371,31,1285
1745945372,31,1285
1745945373,32,1285
1745945374,32,1285
1745945375,33,1285
1745945376,31,1285
1745945377,32,1285
1745945378,32,1285
1745945379,32,1285
1745945380,31,1285
1745945381,32,1285
1745945382,32,1285
1745945383,32,1285
1745945384,32,1285
1745945385,33,1285
1745945386,32,1285
1745945387,32,1285
1745945388,32,1285
1745945389,33,1285
1745945390,30,1285
1745945391,29,1285
1745945392,31,1285
1745945393,31,1285
1745945394,30,1285
1745945396,32,1285
1745945397,32,1285
1745945398,31,1285
1745945399,32,1285
1745945400,28,1285
1745945401,7,1103
1745945402,29,1499
1745945403,29,1499
1745945404,30,1499
1745945405,28,1499
1745945406,28,1499
1745945407,29,1499
1745945408,30,1499
1745945409,29,1499
1745945410,28,1499
1745945411,29,1499
1745945412,29,1499
1745945413,29,1499
1745945414,29,1499
1745945415,30,1499
1745945416,29,1499
1745945417,7,1499
1745945418,31,1241
1745945419,31,1241
1745945420,31,1241
1745945421,32,1241
1745945422,32,1241
1745945423,31,1241
1745945424,32,1241
1745945425,32,1241
1745945426,31,1241
1745945427,32,1241
1745945428,31,1241
1745945429,31,1241
1745945430,29,1241
1745945431,31,1241
1745945432,31,1241
1745945433,32,1241
1745945434,32,1241
1745945435,32,1241
1745945436,32,1241
1745945437,32,1241
1745945438,32,1241
1745945439,32,1241
1745945440,31,1241
1745945441,31,1243
1745945442,32,1243
1745945443,31,1243
1745945444,31,1243
1745945445,31,1243
1745945446,32,1243
1745945448,31,1243
1745945449,31,1243
1745945450,32,1243
1745945451,29,1243
1745945452,31,1243
1745945453,32,1243
1745945454,32,1243
1745945455,32,1243
1745945456,31,1243
1745945457,32,1243
1745945458,31,1243
1745945459,32,1243
1745945460,31,1243
1745945461,31,1243
1745945462,32,1243
1745945463,31,1243
1745945464,31,1243
1745945465,30,1243
1745945466,31,1243
1745945467,31,1243
1745945468,32,1243
1745945469,31,1243
1745945470,31,1243
1745945471,32,1243
1745945472,31,1243
1745945473,31,1243
1745945474,32,1243
1745945475,32,1243
1745945476,30,1243
1745945477,32,1243
1745945478,32,1243
1745945479,31,1243
1745945480,32,1243
1745945481,32,1243
1745945482,32,1243
1745945483,31,1243
1745945484,32,1243
1745945485,31,1243
1745945486,32,1243
1745945487,32,1243
1745945488,32,1243
1745945489,32,1243
1745945490,32,1243
1745945491,32,1243
1745945492,32,1243
1745945493,31,1243
1745945494,32,1243
1745945495,25,1243
1745945496,31,1243
1745945497,32,1243
1745945498,31,1243
1745945499,31,1243
1745945501,31,1243
1745945502,32,1243
1745945503,32,1243
1745945504,31,1243
1745945505,31,1243
1745945506,30,1243
1745945507,32,1243
1745945508,31,1243
1745945509,32,1243
1745945510,31,1243
1745945511,31,1243
1745945512,32,1243
1745945513,31,1243
1745945514,32,1243
1745945515,33,1243
1745945516,32,1243
1745945517,32,1243
1745945518,30,1243
1745945519,32,1243
1745945520,32,1243
1745945521,32,1243
1745945522,32,1243
1745945523,31,1243
1745945524,30,1243
1745945525,33,1243
1745945526,32,1243
1745945527,31,1243
1745945528,31,1243
1745945529,32,1243
1745945530,31,1243
1745945531,32,1243
1745945532,32,1243
1745945533,31,1243
1745945534,31,1243
1745945535,32,1243
1745945536,32,1243
1745945537,32,1243
1745945538,28,1243
1745945539,31,1285
1745945540,32,1285
1745945541,32,1285
1745945542,31,1285
1745945543,32,1285
1745945544,31,1285
1745945545,30,1285
1745945546,32,1285
1745945547,32,1285
1745945548,31,1285
1745945549,31,1285
1745945550,32,1285
1745945551,31,1285
1745945553,31,1285
1745945554,31,1285
1745945555,30,1285
1745945556,32,1285
1745945557,31,1285
1745945558,30,1285
1745945559,31,1285
1745945560,33,1285
1745945561,31,1285
1745945562,31,1285
1745945563,31,1285
1745945564,32,1285
1745945565,32,1285
1745945566,31,1285
1745945567,30,1285
1745945568,30,1285
1745945569,29,1285
1745945570,32,1285
1745945571,33,1285
1745945572,33,1285
1745945573,33,1285
1745945574,32,1285
1745945575,32,1285
1745945576,32,1285
1745945577,31,1285
1745945578,32,1285
1745945579,29,1285
1745945580,30,1285
1745945581,31,1285
1745945582,32,1285
1745945583,32,1285
1745945584,32,1285
1745945585,32,1285
1745945586,32,1285
1745945587,32,1285
1745945588,31,1285
1745945589,32,1285
1745945590,32,1285
1745945591,32,1285
1745945592,31,1285
1745945593,31,1285
1745945594,32,1285
1745945595,31,1285
1745945596,32,1285
1745945597,32,1285
1745945598,31,1285
1745945599,32,1285
1745945600,32,1285
1745945601,32,1285
1745945602,31,1285
1745945603,29,1285
1745945604,31,1285
1745945606,31,1285
1745945607,30,1285
1745945608,31,1285
1745945609,30,1285
1745945610,32,1285
1745945611,31,1285
1745945612,30,1285
1745945613,31,1285
1745945614,29,1285
1745945615,30,1285
1745945616,31,1285
1745945617,31,1285
1745945618,31,1285
1745945619,31,1285
1745945620,32,1285
1745945621,31,1285
1745945622,32,1285
1745945623,33,1285
1745945624,32,1285
1745945625,32,1285
1745945626,30,1285
1745945627,30,1285
1745945628,31,1285
1745945629,30,1285
1745945630,31,1285
1745945631,32,1285
1745945632,32,1285
1745945633,32,1285
1745945634,32,1285
1745945635,32,1285
1745945636,32,1285
1745945637,32,1285
1745945638,30,1285
1745945639,33,1285
1745945640,32,1285
1745945641,31,1285
1745945642,32,1285
1745945643,32,1285
1745945644,32,1285
1745945645,32,1285
1745945646,33,1285
1745945647,32,1285
1745945648,31,1285
1745945649,32,1285
1745945650,32,1285
1745945651,32,1285
1745945652,31,1285
1745945653,27,1285
1745945654,32,1285
1745945655,33,1285
1745945656,33,1285
1745945658,32,1285
1745945659,33,1285
1745945660,32,1285
1745945661,31,1285
1745945662,33,1285
1745945663,32,1285
1745945664,29,1285
1745945665,28,1285
1745945666,31,1285
1745945667,31,1285
1745945668,32,1285
1745945669,31,1285
1745945670,32,1285
1745945671,32,1285
1745945672,30,1285
1745945673,29,1285
1745945674,30,1285
1745945675,31,1285
1745945676,32,1285
1745945677,31,1285
1745945678,31,1285
1745945679,30,1285
1745945680,30,1285
1745945681,31,1285
1745945682,32,1285
1745945683,31,1285
1745945684,31,1285
1745945685,31,1285
1745945686,31,1285
1745945687,32,1285
1745945688,33,1285
1745945689,32,1285
1745945690,31,1285
1745945691,32,1285
1745945692,31,1285
1745945693,31,1285
1745945694,32,1285
1745945695,31,1285
1745945696,30,1285
1745945697,31,1285
1745945698,31,1285
1745945699,31,1285
1745945700,32,1285
1745945701,31,1285
1745945702,29,1285
1745945703,32,1285
1745945704,32,1285
1745945705,32,1285
1745945706,31,1285
1745945707,30,1285
1745945708,32,1285
1745945710,31,1285
1745945711,31,1285
1745945712,31,1285
1745945713,31,1285
1745945714,30,1285
1745945715,31,1285
1745945716,29,1285
1745945717,31,1285
1745945718,29,1285
1745945719,30,1285
1745945720,28,1285
1745945721,31,1285
1745945722,30,1285
1745945723,31,1285
1745945724,31,1285
1745945725,32,1285
1745945726,32,1285
1745945727,31,1285
1745945728,31,1285
1745945729,31,1285
1745945730,31,1285
1745945731,32,1285
1745945732,32,1285
1745945733,32,1285
1745945734,31,1285
1745945735,32,1285
1745945736,32,1285
1745945737,32,1285
1745945738,33,1285
1745945739,31,1285
1745945740,32,1285
1745945741,30,1285
1745945742,32,1285
1745945743,31,1285
1745945744,31,1285
1745945745,32,1285
1745945746,31,1285
1745945747,32,1285
1745945748,32,1285
1745945749,32,1285
1745945750,32,1285
1745945751,32,1285
1745945752,31,1285
1745945753,32,1285
1745945754,32,1285
1745945755,32,1285
1745945756,32,1285
1745945757,32,1285
1745945758,31,1285
1745945759,32,1285
1745945760,31,1285
1745945761,31,1285
1745945763,31,1285
1745945764,31,1285
1745945765,29,1285
1745945766,30,1285
1745945767,32,1285
1745945768,31,1285
1745945769,31,1285
1745945770,31,1285
1745945771,32,1285
1745945772,32,1285
1745945773,32,1285
1745945774,31,1285
1745945775,29,1285
1745945776,31,1285
1745945777,31,1285
1745945778,32,1285
1745945779,32,1285
1745945780,32,1285
1745945781,31,1285
1745945782,32,1285
1745945783,34,1285
1745945784,34,1285
1745945785,0,853
1745945786,32,1499
1745945787,30,1499
1745945788,31,1499
1745945789,29,1499
1745945790,29,1499
1745945791,30,1499
1745945792,27,1499
1745945793,30,1499
1745945794,29,1499
1745945795,29,1499
1745945796,30,1499
1745945797,29,1499
1745945798,28,1499
1745945799,29,1499
1745945800,29,1511
1745945801,26,1511
1745945802,34,1243
1745945803,32,1243
1745945804,32,1243
1745945805,32,1243
1745945806,32,1243
1745945807,32,1243
1745945808,32,1243
1745945809,32,1243
1745945810,30,1243
1745945811,31,1243
1745945812,31,1243
1745945813,31,1243
1745945815,31,1243
1745945816,31,1243
1745945817,31,1243
1745945818,32,1243
1745945819,32,1243
1745945820,33,1243
1745945821,32,1243
1745945822,31,1243
1745945823,29,1243
1745945824,32,1243
1745945825,32,1243
1745945826,31,1243
1745945827,31,1243
1745945828,31,1243
1745945829,31,1243
1745945830,32,1243
1745945831,31,1243
1745945832,30,1243
1745945833,31,1243
1745945834,31,1243
1745945835,29,1243
1745945836,32,1243
1745945837,31,1243
1745945838,30,1243
1745945839,32,1243
1745945840,32,1243
1745945841,32,1243
1745945842,29,1243
1745945843,31,1243
1745945844,31,1243
1745945845,29,1243
1745945846,31,1243
1745945847,31,1243
1745945848,31,1243
1745945849,32,1243
1745945850,31,1243
1745945851,30,1243
1745945852,31,1243
1745945853,31,1243
1745945854,30,1243
1745945855,32,1243
1745945856,31,1243
1745945857,29,1243
1745945858,32,1243
1745945859,30,1243
1745945860,32,1243
1745945861,32,1243
1745945862,32,1243
1745945863,32,1243
1745945864,32,1243
1745945865,31,1243
1745945866,32,1243
1745945868,32,1243
1745945869,30,1243
1745945870,29,1243
1745945871,31,1243
1745945872,31,1243
1745945873,32,1243
1745945874,32,1243
1745945875,31,1243
1745945876,32,1243
1745945877,31,1243
1745945878,30,1243
1745945879,31,1243
1745945880,31,1243
1745945881,31,1243
1745945882,32,1243
1745945883,30,1243
1745945884,31,1243
1745945885,33,1243
1745945886,32,1243
1745945887,32,1243
1745945888,32,1243
1745945889,31,1243
1745945890,32,1243
1745945891,32,1243
1745945892,32,1243
1745945893,32,1243
1745945894,32,1243
1745945895,32,1243
1745945896,32,1243
1745945897,31,1243
1745945898,32,1243
1745945899,32,1243
1745945900,32,1243
1745945901,31,1243
1745945902,32,1243
1745945903,32,1243
1745945904,30,1243
1745945905,32,1243
1745945906,32,1243
1745945907,32,1243
1745945908,32,1243
1745945909,33,1243
1745945910,32,1243
1745945911,32,1243
1745945912,32,1243
1745945913,31,1243
1745945914,29,1243
1745945915,29,1243
1745945916,31,1243
1745945917,31,1243
1745945918,31,1243
1745945920,32,1243
1745945921,31,1243
1745945922,32,1243
1745945923,31,1243
1745945924,32,1243
1745945925,31,1243
1745945926,32,1285
1745945927,31,1285
1745945928,30,1285
1745945929,31,1285
1745945930,31,1285
1745945931,29,1285
1745945932,32,1285
1745945933,31,1285
1745945934,32,1285
1745945935,31,1285
1745945936,31,1285
1745945937,29,1285
1745945938,30,1285
1745945939,28,1285
1745945940,30,1285
1745945941,30,1285
1745945942,31,1285
1745945943,31,1285
1745945944,31,1285
1745945945,32,1285
1745945946,31,1285
1745945947,31,1285
1745945948,32,1285
1745945949,31,1285
1745945950,31,1285
1745945951,32,1285
1745945952,31,1285
1745945953,31,1285
1745945954,31,1285
1745945955,31,1285
1745945956,32,1285
1745945957,32,1285
1745945958,32,1285
1745945959,32,1285
1745945960,31,1285
1745945961,32,1285
1745945962,32,1285
1745945963,32,1285
1745945964,31,1285
1745945965,32,1285
1745945966,32,1285
1745945967,32,1285
1745945968,32,1285
1745945969,32,1285
1745945970,30,1285
1745945972,31,1285
1745945973,31,1285
1745945974,29,1285
1745945975,31,1285
1745945976,31,1285
1745945977,29,1285
1745945978,30,1285
1745945979,30,1285
1745945980,30,1285
1745945981,32,1285
1745945982,31,1285
1745945983,30,1285
1745945984,31,1285
1745945985,30,1285
1745945986,31,1285
1745945987,30,1285
1745945988,31,1285
1745945989,31,1285
1745945990,31,1285
1745945991,31,1285
1745945992,31,1285
1745945993,31,1285
1745945994,31,1285
1745945995,30,1285
1745945996,32,1285
1745945997,31,1285
1745945998,32,1285
1745945999,33,1285
1745946000,32,1285
1745946001,32,1285
1745946002,32,1285
1745946003,32,1285
1745946004,32,1285
1745946005,32,1285
1745946006,32,1285
1745946007,30,1285
1745946008,31,1285
1745946009,32,1285
1745946010,32,1285
1745946011,31,1285
1745946012,32,1285
1745946013,31,1285
1745946014,32,1285
1745946015,32,1285
1745946016,32,1285
1745946017,32,1285
1745946018,32,1285
1745946019,30,1285
1745946020,32,1285
1745946021,31,1285
1745946022,31,1285
1745946023,31,1285
1745946025,31,1285
1745946026,31,1285
1745946027,31,1285
1745946028,31,1285
1745946029,30,1285
1745946030,31,1285
1745946031,30,1285
1745946032,28,1285
1745946033,29,1285
1745946034,31,1285
1745946035,29,1285
1745946036,30,1285
1745946037,31,1285
1745946038,31,1285
1745946039,30,1285
1745946040,30,1285
1745946041,29,1285
1745946042,31,1285
1745946043,30,1285
1745946044,32,1285
1745946045,31,1285
1745946046,32,1285
1745946047,32,1285
1745946048,31,1285
1745946049,30,1285
1745946050,31,1285
1745946051,31,1285
1745946052,31,1285
1745946053,31,1285
1745946054,31,1285
1745946055,32,1285
1745946056,31,1285
1745946057,32,1285
1745946058,33,1285
1745946059,33,1285
1745946060,31,1285
1745946061,32,1285
1745946062,32,1285
1745946063,32,1285
1745946064,32,1285
1745946065,31,1285
1745946066,28,1285
1745946067,31,1285
1745946068,32,1285
1745946069,32,1285
1745946070,32,1285
1745946071,30,1285
1745946072,32,1285
1745946073,31,1285
1745946074,29,1285
1745946075,32,1285
1745946077,30,1285
1745946078,31,1285
1745946079,31,1285
1745946080,32,1285
1745946081,32,1285
1745946082,31,1285
1745946083,32,1285
1745946084,30,1285
1745946085,29,1285
1745946086,30,1285
1745946087,30,1285
1745946088,31,1285
1745946089,31,1285
1745946090,32,1285
1745946091,32,1285
1745946092,29,1285
1745946093,32,1285
1745946094,31,1285
1745946095,30,1285
1745946096,32,1285
1745946097,31,1285
1745946098,31,1285
1745946099,30,1285
1745946100,31,1285
1745946101,30,1285
1745946102,30,1285
1745946103,31,1285
1745946104,31,1285
1745946105,30,1285
1745946106,31,1285
1745946107,32,1285
1745946108,31,1285
1745946109,31,1285
1745946110,31,1285
1745946111,30,1285
1745946112,31,1285
1745946113,31,1285
1745946114,32,1285
1745946115,31,1285
1745946116,31,1285
1745946117,31,1285
1745946118,32,1285
1745946119,32,1285
1745946120,31,1285
1745946121,31,1285
1745946122,31,1285
1745946123,29,1285
1745946124,30,1285
1745946125,31,1285
1745946126,32,1285
1745946127,32,1285
1745946128,32,1285
1745946130,32,1285
1745946131,31,1285
1745946132,32,1285
1745946133,32,1285
1745946134,31,1285
1745946135,31,1285
1745946136,29,1285
1745946137,30,1285
1745946138,31,1285
1745946139,31,1285
1745946140,32,1285
1745946141,32,1285
1745946142,32,1285
1745946143,32,1285
1745946144,32,1285
1745946145,32,1285
1745946146,32,1285
1745946147,30,1285
1745946148,30,1285
1745946149,32,1285
1745946150,32,1285
1745946151,31,1285
1745946152,33,1285
1745946153,30,1285
1745946154,31,1285
1745946155,31,1285
1745946156,32,1285
1745946157,32,1285
1745946158,32,1285
1745946159,31,1285
1745946160,31,1285
1745946161,31,1285
1745946162,31,1285
1745946163,32,1285
1745946164,32,1285
1745946165,32,1285
1745946166,31,1285
1745946167,32,1285
1745946168,32,1285
1745946169,31,1285
1745946170,30,1285
1745946171,31,1285
1745946172,32,1285
1745946173,32,1285
1745946174,0,1285
1745946175,29,1499
1745946176,30,1499
1745946177,30,1499
1745946178,30,1499
1745946179,30,1499
1745946180,31,1499
1745946181,30,1499
1745946183,30,1499
1745946184,29,1499
1745946185,29,1499
1745946186,29,1499
1745946187,27,1499
1745946188,28,1499
1745946189,29,1499
1745946190,30,1499
1745946191,29,1499
1745946192,22,1231
1745946193,29,1231
1745946194,30,1231
1745946195,31,1231
1745946196,31,1231
1745946197,31,1231
1745946198,31,1231
1745946199,31,1231
1745946200,31,1231
1745946201,32,1231
1745946202,31,1231
1745946203,32,1231
1745946204,30,1231
1745946205,31,1231
1745946206,31,1231
1745946207,32,1231
1745946208,31,1231
1745946209,31,1231
1745946210,31,1231
1745946211,32,1231
1745946212,32,1231
1745946213,32,1231
1745946214,33,1231
1745946215,33,1231
1745946216,31,1231
1745946217,32,1231
1745946218,32,1231
1745946219,32,1231
1745946220,32,1231
1745946221,31,1231
1745946222,31,1231
1745946223,31,1231
1745946224,32,1231
1745946225,32,1231
1745946226,32,1231
1745946227,32,1231
1745946228,32,1231
1745946229,32,1243
1745946230,33,1243
1745946231,32,1243
1745946232,32,1243
1745946233,32,1243
1745946234,33,1243
1745946236,32,1243
1745946237,32,1243
1745946238,33,1243
1745946239,30,1243
1745946240,32,1243
1745946241,32,1243
1745946242,32,1243
1745946243,32,1243
1745946244,32,1243
1745946245,31,1243
1745946246,31,1243
1745946247,31,1243
1745946248,28,1243
1745946249,32,1243
1745946250,32,1243
1745946251,33,1243
1745946252,30,1243
1745946253,32,1243
1745946254,32,1243
1745946255,32,1243
1745946256,31,1243
1745946257,32,1243
1745946258,32,1243
1745946259,33,1243
1745946260,32,1243
1745946261,33,1243
1745946262,32,1243
1745946263,30,1243
1745946264,31,1243
1745946265,33,1243
1745946266,32,1243
1745946267,32,1243
1745946268,32,1243
1745946269,31,1243
1745946270,31,1243
1745946271,32,1243
1745946272,31,1243
1745946273,31,1243
1745946274,31,1243
1745946275,32,1243
1745946276,33,1243
1745946277,32,1243
1745946278,32,1243
1745946279,32,1243
1745946280,32,1243
1745946281,32,1243
1745946282,31,1243
1745946283,31,1243
1745946284,31,1243
1745946285,30,1243
1745946286,32,1243
1745946288,30,1243
1745946289,31,1243
1745946290,29,1243
1745946291,31,1243
1745946292,30,1243
1745946293,31,1243
1745946294,31,1243
1745946295,30,1243
1745946296,31,1243
1745946297,30,1243
1745946298,30,1243
1745946299,29,1243
1745946300,31,1243
1745946301,30,1243
1745946302,30,1243
1745946303,31,1243
1745946304,28,1243
1745946305,30,1243
1745946306,32,1243
1745946307,31,1243
1745946308,30,1243
1745946309,29,1243
1745946310,31,1243
1745946311,32,1243
1745946312,31,1243
1745946313,32,1243
1745946314,32,1285
1745946315,32,1285
1745946316,31,1285
1745946317,31,1285
1745946318,32,1285
1745946319,31,1285
1745946320,31,1285
1745946321,31,1285
1745946322,32,1285
1745946323,32,1285
1745946324,32,1285
1745946325,33,1285
1745946326,32,1285
1745946327,32,1285
1745946328,32,1285
1745946329,31,1285
1745946330,31,1285
1745946331,32,1285
1745946332,31,1285
1745946333,32,1285
1745946334,32,1285
1745946335,32,1285
1745946336,31,1285
1745946337,31,1285
1745946338,31,1285
1745946339,31,1285
1745946341,32,1285
1745946342,31,1285
1745946343,28,1285
1745946344,30,1285
1745946345,30,1285
1745946346,31,1285
1745946347,30,1285
1745946348,32,1285
